Symbol,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Strategy
TSLA,2025-05-12 10:38:46.283742,316.0,2025-05-12 10:39:50.420979,316.97,0.97,Breakout
TSLA,2025-05-12 10:38:49.578360,316.75,2025-05-12 10:39:54.906359,317.14,0.39,Breakout
TSLA,2025-05-12 10:39:50.234790,316.97,2025-05-12 10:40:55.431466,317.8796,0.91,Breakout
TSLA,2025-05-12 10:39:54.726519,317.14,2025-05-12 10:41:00.431834,317.9385,0.8,Breakout
TSLA,2025-05-12 10:40:55.239245,317.8796,2025-05-12 10:42:01.589669,317.8465,-0.03,Breakout
TSLA,2025-05-12 10:41:00.247157,317.9385,2025-05-12 10:42:05.597804,318.035,0.1,Breakout
TSLA,2025-05-12 10:42:01.395642,317.8465,2025-05-12 10:43:06.420690,318.46,0.61,Breakout
TSLA,2025-05-12 10:42:05.415375,318.035,2025-05-12 10:43:11.319008,318.61,0.57,Breakout
TSLA,2025-05-12 10:43:06.239368,318.46,2025-05-12 10:44:12.321770,318.595,0.14,Breakout
TSLA,2025-05-12 10:43:11.137449,318.61,2025-05-12 10:44:17.108072,318.55,-0.06,Breakout
TSLA,2025-05-12 10:44:12.137719,318.595,2025-05-12 10:45:18.419528,318.41,-0.19,Breakout
TSLA,2025-05-12 10:44:16.909657,318.55,2025-05-12 10:45:22.586116,318.17,-0.38,Breakout
TSLA,2025-05-12 10:45:18.235190,318.41,2025-05-12 10:46:23.761784,318.935,0.52,Breakout
TSLA,2025-05-12 10:45:22.397577,318.17,2025-05-12 10:46:27.768929,318.56,0.39,Breakout
TSLA,2025-05-12 10:46:23.577585,318.935,2025-05-12 10:47:28.405043,319.28,0.34,Breakout
MSFT,2025-05-12 10:46:24.336100,443.75,2025-05-12 10:46:28.561545,443.75,0.0,Breakout
TSLA,2025-05-12 10:46:27.585823,318.56,2025-05-12 10:47:33.623535,319.0449,0.48,Breakout
MSFT,2025-05-12 10:46:28.343104,443.75,2025-05-12 10:47:29.189640,443.84,0.09,Breakout
TSLA,2025-05-12 10:47:28.222013,319.28,2025-05-12 10:48:34.484932,318.64,-0.64,Breakout
MSFT,2025-05-12 10:47:29.011400,443.84,2025-05-12 10:47:34.382219,443.77,-0.07,Breakout
TSLA,2025-05-12 10:47:33.432773,319.0449,2025-05-12 10:48:39.266277,318.66,-0.38,Breakout
MSFT,2025-05-12 10:47:34.198047,443.77,2025-05-12 10:48:35.264510,444.1662,0.4,Breakout
TSLA,2025-05-12 10:48:34.297912,318.64,2025-05-12 10:49:40.390894,319.02,0.38,Breakout
MSFT,2025-05-12 10:48:35.079657,444.1662,2025-05-12 10:48:40.086366,444.11,-0.06,Breakout
TSLA,2025-05-12 10:48:39.081741,318.66,2025-05-12 10:49:44.890134,319.03,0.37,Breakout
MSFT,2025-05-12 10:48:39.894249,444.11,2025-05-12 10:49:41.117291,443.945,-0.17,Breakout
TSLA,2025-05-12 10:49:40.204548,319.02,2025-05-12 10:50:46.335758,318.5066,-0.51,Breakout
MSFT,2025-05-12 10:49:40.949069,443.945,2025-05-12 10:49:45.638543,443.81,-0.13,Breakout
TSLA,2025-05-12 10:49:44.710026,319.03,2025-05-12 10:50:50.528038,318.55,-0.48,Breakout
MSFT,2025-05-12 10:49:45.456116,443.81,2025-05-12 10:50:47.114355,443.77,-0.04,Breakout
TSLA,2025-05-12 10:50:46.152857,318.5066,2025-05-12 10:51:51.403717,318.54,0.03,Breakout
MSFT,2025-05-12 10:50:46.919135,443.77,2025-05-12 10:51:52.151081,443.925,0.16,Breakout
TSLA,2025-05-12 10:50:50.345627,318.55,2025-05-12 10:51:56.766979,318.44,-0.11,Breakout
TSLA,2025-05-12 10:51:51.218289,318.54,2025-05-12 10:52:57.433894,318.57,0.03,Breakout
MSFT,2025-05-12 10:51:51.970520,443.925,2025-05-12 10:51:57.541127,443.9,-0.03,Breakout
TSLA,2025-05-12 10:51:56.577048,318.44,2025-05-12 10:53:02.866373,318.66,0.22,Breakout
MSFT,2025-05-12 10:51:57.361784,443.9,2025-05-12 10:52:58.204354,443.9754,0.08,Breakout
TSLA,2025-05-12 10:52:57.250272,318.57,2025-05-12 10:54:05.608391,318.95,0.38,Breakout
MSFT,2025-05-12 10:52:58.013427,443.9754,2025-05-12 10:53:03.603765,443.85,-0.13,Breakout
TSLA,2025-05-12 10:53:02.688232,318.66,2025-05-12 10:54:09.024040,319.06,0.4,Breakout
MSFT,2025-05-12 10:53:03.428379,443.85,2025-05-12 10:54:09.771491,444.345,0.5,Breakout
TSLA,2025-05-12 10:54:05.431124,318.95,2025-05-12 10:55:10.549101,318.7101,-0.24,Breakout
TSLA,2025-05-12 10:54:08.843980,319.06,2025-05-12 10:55:14.543978,318.3182,-0.74,Breakout
MSFT,2025-05-12 10:54:09.593497,444.345,2025-05-12 10:55:11.416604,444.365,0.02,Breakout
TSLA,2025-05-12 10:55:10.363172,318.7101,2025-05-12 10:56:15.328960,317.695,-1.02,Breakout
MSFT,2025-05-12 10:55:11.145391,444.365,2025-05-12 10:55:15.298139,444.36,-0.0,Breakout
TSLA,2025-05-12 10:55:14.268352,318.3182,2025-05-12 10:56:20.360975,317.87,-0.45,Breakout
MSFT,2025-05-12 10:55:15.108562,444.36,2025-05-12 10:56:16.065687,443.885,-0.48,Breakout
TSLA,2025-05-12 10:56:15.146405,317.695,2025-05-12 10:57:21.377000,317.8,0.11,Breakout
MSFT,2025-05-12 10:56:15.884593,443.885,2025-05-12 10:56:21.102013,444.0,0.12,Breakout
TSLA,2025-05-12 10:56:20.187376,317.87,2025-05-12 10:57:26.484758,317.8707,0.0,Breakout
MSFT,2025-05-12 10:56:20.925000,444.0,2025-05-12 10:57:22.125001,444.16,0.16,Breakout
TSLA,2025-05-12 10:57:21.197256,317.8,2025-05-12 10:58:27.401028,317.465,-0.34,Breakout
MSFT,2025-05-12 10:57:21.946398,444.16,2025-05-12 10:57:27.245920,444.12,-0.04,Breakout
