Date,Breakout,MA_Crossover,BuyHold
2024-03-15,100000.0,100000.0,148209.00942235318
2024-03-18,100000.0,100000.0,151495.48775714845
2024-03-19,100000.0,100000.0,151972.57141862068
2024-03-20,100000.0,100000.0,154390.36822954885
2024-03-21,100000.0,100000.0,152284.4857483984
2024-03-22,100000.0,100000.0,151871.68914313713
2024-03-25,100000.0,100000.0,151194.7768871825
2024-03-26,100000.0,100000.0,152151.46783242121
2024-03-27,100000.0,100000.0,153656.14716449482
2024-03-28,100000.0,100000.0,151949.57964295408
2024-04-01,100000.0,100000.0,151949.27787612655
2024-04-02,100000.0,100000.0,148791.9630223581
2024-04-03,100000.0,100000.0,149355.81075247852
2024-04-04,100000.0,100000.0,149553.9176454273
2024-04-05,100000.0,100000.0,149061.32526422443
2024-04-08,100000.0,100000.0,150914.74983205332
2024-04-09,100000.0,100000.0,152560.6076712728
2024-04-10,100000.0,100000.0,150214.5414529186
2024-04-11,100000.0,100000.0,153531.1935135244
2024-04-12,100000.0,100000.0,152085.58887556734
2024-04-15,100000.0,100000.0,147253.67141776817
2024-04-16,100000.0,100000.0,145301.67748359428
2024-04-17,100000.0,100000.0,144099.33476599114
2024-04-18,100000.0,100000.0,141249.66970452623
2024-04-19,100000.0,100000.0,139200.0133990419
2024-04-22,100000.0,100000.0,138264.6045232622
2024-04-23,100000.0,100000.0,140193.8180037779
2024-04-24,100000.0,100000.0,145856.3174668231
2024-04-25,100000.0,100000.0,146956.65195080027
2024-04-26,100000.0,100000.0,147281.8912588543
2024-04-29,100000.0,100000.0,155047.74004051546
